2026-05-16 17:05:56 | INFO | consumer | Getting message for 6 from broker 1
2026-05-16 17:05:56 | DEBUG | consumer_group | Consumer 6 assigned partitions: []
2026-05-16 17:05:56 | INFO | consumer | Getting message for 7 from broker 1
2026-05-16 17:05:56 | DEBUG | consumer_group | Consumer 7 assigned partitions: []
2026-05-16 17:05:56 | INFO | consumer | Getting message for 8 from broker 1
2026-05-16 17:05:56 | DEBUG | consumer_group | Consumer 8 assigned partitions: []
2026-05-16 17:05:56 | INFO | consumer | Getting message for 9 from broker 1
2026-05-16 17:05:56 | DEBUG | consumer_group | Consumer 9 assigned partitions: []
2026-05-16 17:05:56 | INFO | consumer | Getting message for 10 from broker 1
2026-05-16 17:05:56 | DEBUG | consumer_group | Consumer 10 assigned partitions: []
2026-05-16 17:05:57 | INFO | producer | Generating message for 1
2026-05-16 17:05:57 | DEBUG | producer | sending message for 1
2026-05-16 17:05:57 | INFO | producer | sending message for 1
2026-05-16 17:05:57 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-16 17:05:57 | INFO | producer | Generating message for 2
2026-05-16 17:05:57 | DEBUG | producer | sending message for 2
2026-05-16 17:05:57 | INFO | producer | sending message for 2
2026-05-16 17:05:57 | INFO | partition | Producer 2 appending the message in partiotion 1
2026-05-16 17:05:57 | INFO | producer | Generating message for 3
2026-05-16 17:05:57 | DEBUG | producer | sending message for 3
2026-05-16 17:05:57 | INFO | producer | sending message for 3
2026-05-16 17:05:57 | INFO | partition | Producer 3 appending the message in partiotion 2
2026-05-16 17:05:57 | INFO | producer | Generating message for 4
2026-05-16 17:05:57 | DEBUG | producer | sending message for 4
2026-05-16 17:05:57 | INFO | producer | sending message for 4
2026-05-16 17:05:57 | INFO | partition | Producer 4 appending the message in partiotion 0
2026-05-16 17:05:57 | INFO | producer | Generating message for 5
2026-05-16 17:05:57 | DEBUG | producer | sending message for 5
2026-05-16 17:05:57 | INFO | producer | sending message for 5
2026-05-16 17:05:57 | INFO | partition | Producer 5 appending the message in partiotion 1
2026-05-16 17:05:57 | INFO | producer | Generating message for 6
2026-05-16 17:05:57 | DEBUG | producer | sending message for 6
2026-05-16 17:05:57 | INFO | producer | sending message for 6
2026-05-16 17:05:57 | INFO | partition | Producer 6 appending the message in partiotion 2
2026-05-16 17:05:57 | INFO | producer | Generating message for 7
2026-05-16 17:05:57 | DEBUG | producer | sending message for 7
2026-05-16 17:05:57 | INFO | producer | sending message for 7
2026-05-16 17:05:57 | INFO | partition | Producer 7 appending the message in partiotion 0
2026-05-16 17:05:57 | INFO | producer | Generating message for 8
2026-05-16 17:05:57 | DEBUG | producer | sending message for 8
2026-05-16 17:05:57 | INFO | producer | sending message for 8
2026-05-16 17:05:57 | INFO | partition | Producer 8 appending the message in partiotion 1
2026-05-16 17:05:57 | INFO | producer | Generating message for 9
2026-05-16 17:05:57 | DEBUG | producer | sending message for 9
2026-05-16 17:05:57 | INFO | producer | sending message for 9
2026-05-16 17:05:57 | INFO | partition | Producer 9 appending the message in partiotion 2
2026-05-16 17:05:57 | INFO | producer | Generating message for 10
2026-05-16 17:05:57 | DEBUG | producer | sending message for 10
2026-05-16 17:05:57 | INFO | producer | sending message for 10
2026-05-16 17:05:57 | INFO | partition | Producer 10 appending the message in partiotion 0
2026-05-16 17:05:57 | INFO | consumer | Getting message for 1 from broker 1
2026-05-16 17:05:57 | DEBUG | consumer_group | Consumer 1 assigned partitions: [0]
2026-05-16 17:05:57 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=0 -> 4
2026-05-16 17:05:57 | INFO | partition | Consumer 1 reading the message in partiotion 0
